iter	Passed	Remaining
711	20599	8332
712	20628	8303
713	20656	8274
714	20686	8245
715	20717	8217
716	20748	8189
717	20780	8161
718	20808	8132
719	20835	8102
720	20864	8073
721	20892	8044
722	20918	8014
723	20946	7984
724	20974	7955
725	21002	7926
726	21034	7898
727	21063	7869
728	21091	7840
729	21117	7810
730	21148	7782
731	21177	7753
732	21204	7723
733	21232	7694
734	21262	7666
735	21291	7637
736	21318	7607
737	21351	7580
738	21381	7551
739	21411	7523
740	21441	7494
741	21468	7464
742	21497	7435
743	21526	7406
744	21552	7377
745	21579	7347
746	21606	7317
747	21633	7288
748	21661	7259
749	21688	7229
750	21717	7200
751	21749	7172
752	21779	7144
753	21806	7114
754	21834	7085
755	21862	7056
756	21892	7027
757	21921	6998
758	21950	6969
759	21979	6940
760	22007	6911
761	22038	6883
762	22071	6855
763	22101	6827
764	22126	6797
765	22155	6768
766	22186	6739
767	22211	6709
768	22239	6680
769	22266	6651
770	22295	6622
771	22324	6593
772	22355	6564
773	22386	6536
774	22415	6507
775	22443	6478
776	22469	6448
777	22496	6419
778	22523	6389
779	22550	6360
780	22580	6331
781	22607	6302
782	22637	6273
783	22664	6244
784	22693	6215
785	22719	6185
786	22748	6156
787	22777	6128
788	22805	6098
789	22834	6069
790	22862	6040
791	22888	6011
792	22916	5981
793	22944	5952
794	22975	5924
795	23007	5896
796	23037	5867
797	23066	5838
798	23093	5809
799	23126	5781
800	23160	5753
801	23189	5725
802	23217	5695
803	23244	5666
804	23275	5638
805	23307	5609
806	23333	5580
807	23363	5551
808	23390	5522
809	23420	5493
810	23448	5464
811	23478	5436
812	23507	5407
813	23535	5377
814	23563	5348
815	23591	5319
816	23618	5290
817	23649	5261
818	23677	5232
819	23705	5203
820	23732	5174
821	23766	5146
822	23793	5117
823	23822	5088
824	23852	5059
825	23881	5030
826	23908	5001
827	23938	4972
828	23967	4943
829	23995	4914
830	24023	4885
831	24051	4856
832	24079	4827
833	24108	4798
834	24139	4770
835	24169	4741
836	24199	4712
837	24226	4683
838	24252	4654
839	24280	4624
840	24311	4596
841	24338	4567
842	24365	4537
843	24395	4509
844	24424	4480
845	24455	4451
846	24487	4423
847	24520	4395
848	24552	4366
849	24585	4338
850	24615	4309
851	24644	4281
852	24674	4252
853	24700	4222
854	24727	4193
855	24755	4164
856	24783	4135
857	24812	4106
858	24840	4077
859	24874	4049
860	24902	4020
861	24932	3991
862	24962	3962
863	24992	3934
864	25025	3905
865	25057	3877
866	25084	3848
867	25116	3819
868	25144	3790
869	25170	3761
870	25198	3732
871	25233	3703
872	25265	3675
873	25292	3646
874	25320	3617
875	25351	3588
876	25382	3559
877	25410	3530
878	25437	3501
879	25466	3472
880	25493	3443
881	25522	3414
882	25556	3386
883	25587	3357
884	25620	3329
885	25647	3300
886	25675	3270
887	25702	3241
888	25730	3212
889	25759	3183
890	25786	3154
891	25812	3125
892	25839	3096
893	25867	3067
894	25896	3038
895	25926	3009
896	25955	2980
897	25984	2951
898	26015	2922
899	26046	2894
900	26077	2865
901	26109	2836
902	26138	2807
903	26165	2778
904	26194	2749
905	26221	2720
906	26251	2691
907	26282	2662
908	26313	2634
909	26344	2605
910	26371	2576
911	26401	2547
912	26429	2518
913	26458	2489
914	26485	2460
915	26514	2431
916	26543	2402
917	26569	2373
918	26599	2344
919	26633	2315
920	26664	2287
921	26694	2258
922	26723	2229
923	26754	2200
924	26780	2171
925	26810	2142
926	26837	2113
927	26864	2084
928	26893	2055
929	26921	2026
930	26947	1997
931	26974	1968
932	27000	1938
933	27027	1909
