iter	RMSE
625	0.4134311747
626	0.4133665648
627	0.4132653802
628	0.4132040972
629	0.412970832
630	0.4129139947
631	0.4128349671
632	0.4127219491
633	0.4126308545
634	0.4125385536
635	0.4124852087
636	0.4123500037
637	0.4122221857
638	0.4121382445
639	0.4120483409
640	0.4119814585
641	0.4119131979
642	0.4117760941
643	0.4116816929
644	0.4115945861
645	0.4115100972
646	0.4114255757
647	0.411360817
648	0.4112394535
649	0.4111788771
650	0.4110772729
651	0.4109665707
652	0.4108721829
653	0.4108056119
654	0.4106909513
655	0.4105512421
656	0.4104309277
657	0.4102422466
658	0.4101583347
659	0.4100731306
660	0.4099943452
661	0.4099202091
662	0.4097942417
663	0.409719397
664	0.4096492401
665	0.4095734014
666	0.4094709113
667	0.4093425786
668	0.409190444
669	0.4087794848
670	0.408697284
671	0.4085305099
672	0.4083572625
673	0.4082869855
674	0.4082156675
675	0.4080739262
676	0.4079383946
677	0.4078814033
678	0.4078043914
679	0.4077597606
680	0.4076104348
681	0.4075169557
682	0.4074393679
683	0.4073060004
684	0.4072242808
685	0.407142785
686	0.4070559246
687	0.4069453198
688	0.406845394
689	0.4067532848
690	0.4066804316
691	0.4065940923
692	0.4064918316
693	0.4064029909
694	0.4062750489
695	0.4062054091
696	0.4059791624
697	0.4058923057
698	0.4058411854
699	0.4057339371
700	0.4056560286
701	0.4055700507
702	0.4054549723
703	0.4053710736
704	0.4051974756
705	0.4050636192
706	0.4049543488
707	0.4048732964
708	0.4047959751
709	0.4047430925
710	0.4046648219
711	0.4046002829
712	0.4045272933
713	0.4044025053
714	0.4042829015
715	0.4041987305
716	0.4041302163
717	0.4040521374
718	0.4039744949
719	0.403908061
720	0.4038143677
721	0.4037545303
722	0.4036875245
723	0.4036201774
724	0.4035443269
725	0.4034922833
726	0.4034367845
727	0.403382175
728	0.4033165567
729	0.4032231379
730	0.403036315
731	0.4026656798
732	0.4025779792
733	0.402512288
734	0.4023166061
735	0.4021865327
736	0.4021057438
737	0.402031799
738	0.4019413663
739	0.401867682
740	0.4018288736
741	0.4017572232
742	0.4016852582
743	0.4016209156
744	0.4015691985
745	0.4014896753
746	0.4014363601
747	0.4013726491
748	0.4013262341
749	0.4012122328
750	0.4011326683
751	0.4010055298
752	0.4009257909
753	0.4008298369
754	0.4007065529
755	0.4006288414
756	0.4005520772
757	0.4004694053
758	0.4003924229
759	0.4002548964
760	0.4002030987
761	0.4001051007
762	0.400029308
763	0.399947887
764	0.3998649657
765	0.3997891963
766	0.3997128439
767	0.3996770851
768	0.3996249935
769	0.3995692231
770	0.3995152915
771	0.3994641087
772	0.3994066272
773	0.3992771333
774	0.399210259
775	0.3990458102
776	0.3989928948
777	0.3989506679
778	0.3988464301
779	0.3987874815
780	0.3987198285
781	0.398592317
782	0.3985401124
783	0.3984220984
784	0.3983511221
785	0.3982933298
786	0.3981924112
787	0.3981287793
788	0.3980361245
789	0.3979579121
790	0.3978863116
791	0.3978276112
792	0.397658724
793	0.397578238
794	0.3975118243
795	0.3974475142
796	0.3973692331
797	0.3972136346
798	0.3971513358
799	0.3970975079
800	0.3970102366
801	0.396951623
802	0.3968763334
803	0.3968209951
804	0.396756292
805	0.3966691389
806	0.3966189689
807	0.3965381551
808	0.3964892612
809	0.3964425915
810	0.396381212
811	0.3963010719
812	0.3962179985
813	0.3961740059
814	0.396110529
815	0.3960555965
816	0.3959844234
817	0.3958611086
818	0.3957895026
819	0.3956958889
820	0.3956319443
821	0.3955516099
822	0.3955036182
823	0.3954473526
824	0.3953661429
825	0.3952449149
826	0.3951804513
827	0.3951491535
828	0.3950815159
829	0.3950293462
830	0.3949916469
831	0.3949069393
832	0.394820932
833	0.3947650397
834	0.3947051474
835	0.3946234486
836	0.3945509668
837	0.3944556601
838	0.3943686078
839	0.3942858154
840	0.3942284577
841	0.394067974
842	0.3940010503
843	0.3939434507
844	0.3938751674
845	0.3938202318
846	0.3937692186
847	0.3937101873
848	0.3936589856
849	0.3935416097
850	0.3934370064
851	0.3933712323
852	0.3933065904
853	0.3932719875
854	0.3932152924
855	0.3931703183
856	0.3931210397
857	0.3930585312
858	0.3930073752
859	0.3929337178
860	0.3928937724
861	0.3928543433
862	0.3927951542
863	0.3927419821
864	0.3926894166
865	0.3926468827
866	0.3925491417
867	0.3924995687
868	0.3924341114
